ID DE CONTROL,NOMBRE,PRESENTACIÓN,PRODUCTOS_INCLUIDOS,UNIDADES_EN_PAQUETE,PUNTOS,VALOR_COMISIONABLE,PRECIO_SOCIO,PRECIO_PÚBLICO,CATEGORÍA,TIPO_DE_PRODUCTO,CORRELACIÓN DE PRESENTACIÓN OFICIAL
29,4DXT XTI,90 cápsulas,Producto único,1,388,$            388.00,$            473.00,$            789.00,SUPLEMENTOS,INDIVIDUAL,4DXT XTI (90 cápsulas por unidad)
30,PAQUETE 4DXT XTI,90 cápsulas por unidad,13 4DXT XTI,13,4604,"$         4,604.00","$         5,677.00","$       10,251.00",SUPLEMENTOS,PAQUETE,13 4DXT XTI (90 cápsulas por unidad)
31,CEUTICA 4 sabor NATURAL,500 gramos,Producto único,1,682,$            682.00,$            791.00,"$         1,230.00",SUPLEMENTOS,INDIVIDUAL,"CEUTICA 4 (sabor natural, bolsa de 500 g)"
32,CEUTICA 4 sabor VAINILLA,500 gramos,Producto único,1,682,$            650.00,$            791.00,"$         1,230.00",SUPLEMENTOS,INDIVIDUAL,"CEUTICA 4 (sabor vainilla, bolsa de 500 g)"
33,CEUTICA 4 sabor CHOCOLATE,500 gramos,Producto único,1,682,$            650.00,$            791.00,"$         1,230.00",SUPLEMENTOS,INDIVIDUAL,"CEUTICA 4 (sabor chocolate, bolsa de 500 g)"
34,PAQUETE CEUTICA 4,500 gramos por unidad,13 CEUTICA 4 (Sabores a elegir),13,8133,"$         8,133.00","$         9,492.00","$       15,990.00",SUPLEMENTOS,PAQUETE,"13 CEUTICA 4 (bolsa de 500 g, sabores a elegir)"
35,4DXT ANTIOX,30 sobres,Producto único,1,829,$            829.00,"$         1,011.00","$         1,470.00",SUPLEMENTOS,INDIVIDUAL,4DXT ANTIOX (30 sobres en polvo)
36,4DXT COLÁGENO HIDROLIZADO MORAS ,20 sobres,Producto único,1,511,$            511.00,$            628.00,"$         1,046.00",SUPLEMENTOS,INDIVIDUAL,4DXT COLÁGENO HIDROLIZADO MORAS (25 sobres en gel)
37,4DXT PAQUETE COLÁGENO HIDROLIZADO MORAS ,20 sobres por unidad,13 4DXT COLÁGENO HIDROLIZADO MORAS ,13,6077,"$         6,077.00","$         7,536.00","$       13,598.00",SUPLEMENTOS,PAQUETE,13 4DXT COLÁGENO HIDROLIZADO MORAS  (25 sobres en gel por unidad)
38,GANO HE,20 mililitros,Producto único,1,277,$            277.00,$            338.00,$            564.00,SUPLEMENTOS,INDIVIDUAL,GANO HE (frasco de 20 ml con gotero)
39,PAQUETE GANO HE,20 mililitros por unidad,13 GANO HE,13,3278,"$         3,278.00","$         4,060.00","$         7,331.00",SUPLEMENTOS,PAQUETE,13 GANO HE (frasco de 20 ml con gotero dosificador por unidad) 
40,BIO.PROPÓLEO,22 mililitros,Producto único,1,211,$            211.00,$            257.00,$            428.00,SUPLEMENTOS,INDIVIDUAL,BIO.PROPÓLEO (frasco compacto con atomizador sublingual)
41,PAQUETE BIO.PROPÓLEO,22 mililitros por unidad,13 BIO.PROPÓLEO,13,2267,"$         2,267.00","$         2,827.00","$         5,570.00",SUPLEMENTOS,PAQUETE,13 BIO.PROPÓLEO (frasco compacto con atomizador sublingual por unidad)
42,KENKO TODAY,210 gramos,Producto único,1,821,$            821.00,"$         1,002.00","$         1,669.00",SUPLEMENTOS,INDIVIDUAL,KENKO TODAY (café pulverizado en bolsa de 210 g)
43,PAQUETE KENKO TODAY,210 gramos por unidad,13 KENKO TODAY,13,9801,"$         9,801.00","$       12,019.00","$       21,700.00",SUPLEMENTOS,PAQUETE,13 KENKO TODAY (bolsa de 210 gr de café pulverizado por unidad)
44,SATTVA CEUTICA,30 sobres,Producto único,1,764,$            764.00,$            893.00,"$         1,489.00",ALIMENTOS,INDIVIDUAL,SATTVA CEUTICA (caja con 30 sobres)
45,PAQUETE SATTVA CEUTICA,30 sobres por unidad,6 SATTVA CEUTICA,6,3768,"$         3,768.00","$         4,467.00","$         8,934.00",ALIMENTOS,PAQUETE,6 SATTVA CEUTICA (caja con 30 sobres por unidad)
46,KENKO CAFÉ (25 SOBRES),25 sobres,Producto único,1,410,$            410.00,$            439.00,$            732.00,ALIMENTOS,INDIVIDUAL,KENKO CAFÉ (caja con 25 sobres)
47,PAQUETE KENKO CAFÉ (CAJAS DE 25 SOBRES),25 sobres por unidad,10 KENKO CAFÉ SOBRES,10,3233,"$         3,233.00","$         3,513.00","$         7,318.00",ALIMENTOS,PAQUETE,10 KENKO CAFÉ (caja con 25 sobres por unidad)
48,PAQUETE KENKO CAFÉ HOGAR (BOLSA DE 210 G),210 gramos por unidad,6 KENKO CAFÉ HOGAR,6,2409,"$         2,409.00","$         2,715.00","$         5,346.00",ALIMENTOS,PAQUETE,6 bolsas de 210 g de Kenko Café Hogar
49,KENKO CAFÉ FRASCO,135 gramos,Producto único,1,469,$            469.00,$            497.00,$            799.00,ALIMENTOS,INDIVIDUAL,KENKO CAFÉ (frasco con 135 g)
50,PAQUETE KENKO CAFÉ FRASCO,135 gramos por unidad,13 KENKO CAFÉ FRASCO,13,5576,"$         5,576.00","$         5,964.00","$       10,387.00",ALIMENTOS,PAQUETE,13 KENKO CAFÉ FRASCO (frasco de 135 g por unidad) 
51,KENKO CAFÉ HOGAR (BOLSA 210 G),210 gramos,Producto único,1,500,$            500.00,$            534.00,$            891.00,ALIMENTOS,INDIVIDUAL,Bolsa de 210 g de Kenko Café Hogar
52,PAQUETE KENKO CAFÉ HOGAR,210 gramos por unidad,13 KENKO CAFÉ HOGAR,13,5944,"$         5,944.00","$         6,414.00","$       11,581.00",ALIMENTOS,PAQUETE,13 bolsas de 210 g de Kenko Café Hogar
53,KENKO CAFÉ DE OLLA,20 sobres,Producto único,1,520,$            520.00,$            556.00,$            825.00,ALIMENTOS,INDIVIDUAL,Caja con 20 sobres de Kenko Café de Olla
54,PAQUETE KENKO CAFÉ DE OLLA,20 sobres por unidad,13 KENKO CAFÉ DE OLLA,13,6186,"$         6,186.00","$         6,672.00","$       10,725.00",ALIMENTOS,PAQUETE,13 cajas de 20 sobres de Kenko Café de Olla
55,BIO.FLAX MOLIDA,600 gramos,Producto único,1,278,$            278.00,$            295.00,$            460.00,ALIMENTOS,INDIVIDUAL,Bolsa de 600 g de BIO.FLAX MOLIDA
56,PAQUETE BIO.FLAX MOLIDA ,600 gramos por unidad,13 BIO.FLAX MOLIDA ,13,3290,"$         3,290.00","$         3,540.00","$         5,980.00",ALIMENTOS,PAQUETE,13 bolsas de 600 g de BIO.FLAX MOLIDA
57,BIO.FLAX CH GERMINATIVA ,600 gramos,Producto único,1,278,$            278.00,$            295.00,$            460.00,ALIMENTOS,INDIVIDUAL,Bolsa de 600 g de BIO.FLAX CH GERMINATIVA
58,PAQUETE BIO FLAX CH GERMINATIVA ,600 gramos por unidad,13 BIO.FLAX CH GERMINATIVA ,13,3290,"$         3,290.00","$         3,540.00","$         5,980.00",ALIMENTOS,PAQUETE,13 BIO.FLAX CH GERMINATIVA (bolsa de 600 g por unidad)
59,GANO DENT,130 gramos,Producto único,1,189,$            189.00,$            231.00,$            317.00,CUIDADO PERSONAL,INDIVIDUAL,GANO DENT (tubo de 130 g)
60,PAQUETE GANO DENT,130 gramos por unidad,13 GANO DENT,13,2222,"$         2,222.00","$         2,772.00","$         4,121.00",CUIDADO PERSONAL,PAQUETE,13 GANO DENT (tubo de 130 g por unidad)
61,LA DOUCHE,270 mililitros,Producto único,1,225,$            225.00,$            274.00,$            457.00,CUIDADO PERSONAL,INDIVIDUAL,LA DOUCHE (tubo de 270 ml)
62,PAQUETE LA DOUCHE,270 mililitros por unidad,13 LA DOUCHE,13,2650,"$         2,650.00","$         3,293.00","$         5,946.00",CUIDADO PERSONAL,PAQUETE,13 LA DOUCHE (tubo de 270 ml por unidad)
63,GANO SOAP,3 jabones por unidad,Producto único,1,402,$            402.00,$            490.00,$            718.00,CUIDADO PERSONAL,INDIVIDUAL,GANO SOAP (caja con 3 barras)
64,4 BELLE,50 mililitros,Producto único,1,421,$            421.00,$            513.00,$            855.00,CUIDADO PERSONAL,INDIVIDUAL,4 BELLE (tubo de 50 ml)
65,PAQUETE 4 BELLE,50 mililitros por unidad,13 4 BELLE,13,4998,"$         4,998.00","$         6,158.00","$       11,119.00",CUIDADO PERSONAL,PAQUETE,13 4 BELLE (tubo de 50 ml por unidad) 
66,COLÁGENO FACIAL,48 gramos,Producto único,1,554,$            554.00,$            676.00,"$         1,126.00",CUIDADO PERSONAL,INDIVIDUAL,COLÁGENO FACIAL (botella airless de 48 g)
67,PAQUETE COLÁGENO FACIAL,48 gramos por unidad,13 COLÁGENO FACIAL,13,6599,"$         6,599.00","$         8,112.00","$       14,643.00",CUIDADO PERSONAL,PAQUETE,13 COLÁGENO FACIAL (botella airless de 48 g por unidad) 
68,GANO SUN,75 mililitros,Producto único,1,357,$            357.00,$            436.00,$            726.00,CUIDADO PERSONAL,INDIVIDUAL,GANO SUN (tubo de 75 ml)
69,PAQUETE GANO SUN,75 mililitros por unidad,13 GANO SUN,13,4239,"$         4,239.00","$         5,232.00","$         9,441.00",CUIDADO PERSONAL,PAQUETE,13 GANO SUN (tubo de 75 ml por unidad) 
70,GANO SUN PRESENTACIÓN EN SOBRES ,15 sobres por paquete,Producto único,1,364,$            364.00,$            481.00,$            801.00,CUIDADO PERSONAL,INDIVIDUAL,GANO SUN (paquete con 15 sobres individuales)
71,SHAMPOO DE DIAMANTES,270 mililitros,Producto único,1,225,$            225.00,$            274.00,$            411.00,CUIDADO PERSONAL,INDIVIDUAL,SHAMPOO DE DIAMANTES (tubo de 270 ml)
72,PAQUETE SHAMPOO DE DIAMANTES,270 mililitros por unidad,13 SHAMPOO DE DIAMANTES,13,2648,"$         2,648.00","$         3,292.00","$         5,343.00",CUIDADO PERSONAL,PAQUETE,13 SHAMPOO DE DIAMANTES (tubo de 270 ml por unidad)
73,ACONDICIONADOR DE DIAMANTES,270 mililitros,Producto único,1,174,$            174.00,$            213.00,$            355.00,CUIDADO PERSONAL,INDIVIDUAL,ACONDICIONADOR DE DIAMANTES (tubo de 270 ml)
74,PAQUETE ACONDICIONADOR DE DIAMANTES,270 mililitros por unidad,13 ACONDICIONADOR DE DIAMANTES,13,2044,"$         2,044.00","$         2,554.00","$         4,612.00",CUIDADO PERSONAL,PAQUETE,13 ACONDICIONADOR DE DIAMANTES (tubo de 270 ml por unidad) 
75,SHII REGENERADOR DESMAQUILLANTE ,75 mililitros,Producto único,1,199,$            199.00,$            243.00,$            405.00,CUIDADO PERSONAL,INDIVIDUAL,SHII REGENERADOR DESMAQUILLANTE (tubo de 75 ml)
76,PAQUETE SHII REGENERADOR DESMAQUILLANTE,75 mililitros por unidad,13 SHII REGENERADOR DESMAQUILLANTE,13,2342,"$         2,342.00","$         2,918.00","$         5,268.00",CUIDADO PERSONAL,PAQUETE,13 SHII REGENERADOR DESMAQUILLANTE (tubo de 75 ml por unidad) 
77,SHII TÓNICO,120 mililitros,Producto único,1,195,$            195.00,$            238.00,$            396.00,CUIDADO PERSONAL,INDIVIDUAL,SHII TÓNICO (botella de 135 ml)
78,PAQUETE SHII TÓNICO ,120 mililitros por unidad,13 SHII TÓNICO,13,2288,"$         2,288.00","$         2,852.00","$         5,149.00",CUIDADO PERSONAL,PAQUETE,13 SHII TÓNICO (botella de 135 ml por unidad)
79,EXFOLIANTE TÉ VERDE,35 mililitros,Producto único,1,217,$            217.00,$            264.00,$            441.00,CUIDADO PERSONAL,INDIVIDUAL,EXFOLIANTE TÉ VERDE (botella de 35 ml)
80,PAQUETE EXFOLIANTE TÉ VERDE,35 mililitros por unidad,13 EXFOLIANTE TÉ VERDE,13,2551,"$         2,551.00","$         3,174.00","$         5,730.00",CUIDADO PERSONAL,PAQUETE,13 EXFOLIANTE TÉ VERDE (botella de 35 ml por unidad)
81,SHII CREMA PARA MANOS,114 gramos,Producto único,1,211,$            211.00,$            258.00,$            430.00,CUIDADO PERSONAL,INDIVIDUAL,SHII CREMA PARA MANOS (tubo de 114 g)
82,PAQUETE SHII CREMA PARA MANOS,114 gramos por unidad,13 SHII CREMA PARA MANOS,13,2488,"$         2,488.00","$         3,096.00","$         5,587.00",CUIDADO PERSONAL,PAQUETE,13 SHII CREMA PARA MANOS (tubo de 114 g por unidad)
83,SHII TOQUE DE SEDA,300 gramos,Producto único,1,224,$            224.00,$            273.00,$            455.00,CUIDADO PERSONAL,INDIVIDUAL,SHII TOQUE DE SEDA (tubo de 300 g)
84,PAQUETE SHII TOQUE DE SEDA,300 gramos por unidad,13 SHII TOQUE DE SEDA,13,2636,"$         2,636.00","$         3,277.00","$         5,916.00",CUIDADO PERSONAL,PAQUETE,13 SHII TOQUE DE SEDA (tubo de 300 g por unidad)
85,SHII TOMILLO,90 gramos,Producto único,1,315,$            315.00,$            384.00,$            640.00,CUIDADO PERSONAL,INDIVIDUAL,SHII TOMILLO (tubo de 90 g)
86,PAQUETE SHII TOMILLO,90 gramos por unidad,13 SHII TOMILLO,13,3726,"$         3,726.00","$         4,607.00","$         8,318.00",CUIDADO PERSONAL,PAQUETE,13 SHII TOMILLO (tubo de 90 g por unidad)
87,4DXT KU´UL,114 gramos,Producto único,1,191,$            191.00,$            233.00,$            389.00,CUIDADO PERSONAL,INDIVIDUAL,4DXT KU´UL (tubo de 114 g)
88,PAQUETE 4DXT KU´UL,114 gramos por unidad,13 4DXT KU´UL,13,2242,"$         2,242.00","$         2,796.00","$         5,058.00",CUIDADO PERSONAL,PAQUETE,13 4DXT KU´UL (tubo de 114 g por unidad)
89,LA DOUCHE ÍNTIMO,250 mililitros,Producto único,1,193,$            193.00,$            235.00,$            392.00,CUIDADO PERSONAL,INDIVIDUAL,LA DOUCHE ÍNTIMO (botella con dispensador de 250 ml)
90,PAQUETE LA DOUCHE ÍNTIMO,250 mililitros por unidad,13 LA DOUCHE ÍNITIMO,13,2266,"$         2,266.00","$         2,826.00","$         5,102.00",CUIDADO PERSONAL,PAQUETE,13 LA DOUCHE ÍNITIMO (botella con dispensador de 250 ml por unidad)
91,BOLSA MINI CABINA EN CASA,Producto único,"1 SHII CREMA PARA MANOS, 1 SHII TOQUE DE SEDA y 1 SHII TOMILLO ",1,1698,"$         1,617.00","$         2,282.00","$         4,639.00",CUIDADO PERSONAL,INDIVIDUAL,Bolsa MINI CABINA EN CASA (kit de cuidado facial completo)
92,BIO.CRISTAL,250 mililitros,Producto único,1,269,$            269.00,$            328.00,$            505.00,ECOLOGÍA,INDIVIDUAL,BIO.CRISTAL (mineral sólido con botella de 250 ml de agua deionizada)
93,REPUESTO BIO.CRISTAL,250 mililitros,Producto único,1,145,$            145.00,$            177.00,$            295.00,ECOLOGÍA,INDIVIDUAL,REPUESTO BIO.CRISTAL (botella de 250 ml de agua deionizada)
94,BIO.CLEAN,90 mililitros,Producto único,1,108,$            108.00,$            132.00,$            220.00,ECOLOGÍA,INDIVIDUAL,BIO.CLEAN (botella de 90 ml con atomizador)
95,PAQUETE BIO.CLEAN,90 mililitros por unidad,13 BIO.CLEAN,13,1250,"$         1,250.00","$         1,586.00","$         2,863.00",ECOLOGÍA,PAQUETE,13 BIO.CLEAN (botella de 90 ml con atomizador por unidad)
96,4SAVE,1 esfera ecológica,Producto único,1,309,$            309.00,$            377.00,$            739.00,ECOLOGÍA,INDIVIDUAL,4SAVE (esfera ecológica con zeolitas)
97,PAQUETE 4SAVE,1 esfera ecológica por unidad,6 4SAVE,6,1496,"$         1,496.00","$         1,886.00","$         4,434.00",ECOLOGÍA,PAQUETE,6 4SAVE (esfera ecológica con zeolitas por unidad)
98,AHORRADOR DE GASOLINA,2 ahorradores de gasolina,Producto único,1,260,$            260.00,$            317.00,$            527.00,ECOLOGÍA,INDIVIDUAL,AHORRADOR DE GASOLINA (dispositivo magnético con cinchos de instalación)
99,PAQUETE AHORRADOR DE GASOLINA,2 ahorradores de gasolina por paquete,13 AHORRADORES DE GASOLINA,13,3071,"$         3,071.00","$         3,807.00","$         6,851.00",ECOLOGÍA,PAQUETE,13 AHORRADORES DE GASOLINA (dispositivo magnético con dos piezas por unidad)
100,PAQUETE CONGRUENCIA,BIO.CON + BIO.GRU + BIO.EN + BIO.CIA (paquete funcional conocido como CON.GRU.EN.CIA),BIO.CON + BIO.GRU + BIO.EN + BIO.CIA (paquete funcional conocido como CON.GRU.EN.CIA),13,4703,"$         4,703.00","$         5,946.00","$       10,893.00",ECOLOGÍA,PAQUETE,BIO.CON + BIO.GRU + BIO.EN + BIO.CIA (paquete funcional conocido como CON.GRU.EN.CIA)
101,PAQUETE MUESTRARIO,10 SHII REGENERADOR DESMAQUILLANTE ,10 SHII REGENERADOR DESMAQUILLANTE ,47,15029,"$       15,029.00","$       18,267.00","$       31,217.00",ECOLOGÍA,PAQUETE,10 SHII REGENERADOR DESMAQUILLANTE
